Wavelength (nm),Condition Number
870.9273182957393,2.5956053387539258e+29
872.1804511278197,2.5881713013646428e+29
873.4335839598999,2.5807691286308735e+29
874.68671679198,2.5733986388577933e+29
875.9398496240602,2.5660596516426856e+29
877.1929824561404,2.5587519878639367e+29
878.4461152882205,2.5514754696701547e+29
879.6992481203008,2.5442299204693686e+29
880.9523809523811,2.5370151649183674e+29
882.2055137844611,2.5298310289121118e+29
883.4586466165413,2.5226773395732756e+29
884.7117794486217,2.5155539252418765e+29
885.9649122807019,2.5084606154650172e+29
887.218045112782,2.5013972409867135e+29
888.4711779448622,2.4943636337378384e+29
889.7243107769424,2.4873596268261556e+29
890.9774436090225,2.480385054526452e+29
892.2305764411028,2.473439752270765e+29
893.4837092731831,2.4665235566387083e+29
894.7368421052632,2.4596363053478915e+29
895.9899749373433,2.452777837244429e+29
897.2431077694237,2.445947992293544e+29
898.4962406015039,2.439146611570265e+29
899.749373433584,2.432373537250209e+29
901.0025062656641,2.425628612600456e+29
902.2556390977444,2.4189116819705078e+29
903.5087719298245,2.412222590783342e+29
904.7619047619048,2.4055611855265458e+29
906.0150375939851,2.3989273137435332e+29
907.2681704260652,2.392320824024854e+29
908.5213032581453,2.385741565999579e+29
909.7744360902255,2.37918939032677e+29
911.0275689223059,2.372664148687036e+29
912.280701754386,2.3661656937741602e+29
913.5338345864661,2.3596938792868187e+29
914.7869674185464,2.353248559920366e+29
916.0401002506267,2.3468295913587082e+29
917.2932330827068,2.340436830266249e+29
918.5463659147871,2.3340701342799144e+29
919.7994987468672,2.3277293620012436e+29
921.0526315789473,2.3214143729885765e+29
922.3057644110276,2.315125027749284e+29
923.5588972431079,2.3088611877321062e+29
924.8120300751881,2.3026227153195273e+29
926.0651629072681,2.2964094738202583e+29
927.3182957393484,2.2902213274617534e+29
928.5714285714287,2.2840581413828304e+29
929.8245614035088,2.2779197816263367e+29
931.077694235589,2.2718061151318988e+29
932.3308270676692,2.2657170097287253e+29
933.5839598997493,2.2596523341284903e+29
934.8370927318296,2.2536119579182755e+29
936.0902255639099,2.2475957515535822e+29
937.3433583959901,2.2416035863514067e+29
938.5964912280701,2.2356353344833776e+29
939.8496240601504,2.229690868968953e+29
941.1027568922307,2.223770063668702e+29
942.3558897243108,2.2178727932776196e+29
943.609022556391,2.2119989333185174e+29
944.8621553884713,2.206148360135482e+29
946.1152882205514,2.2003209508873782e+29
947.3684210526316,2.1945165835414224e+29
948.621553884712,2.1887351368668142e+29
949.8746867167921,2.182976490428425e+29
951.1278195488721,2.17724052458054e+29
952.3809523809523,2.1715271204606642e+29
953.6340852130327,2.1658361599833802e+29
954.887218045113,2.1601675258342685e+29
956.1403508771931,2.154521101463878e+29
957.3934837092731,2.1488967710817473e+29
958.6466165413533,2.1432944196504894e+29
959.8997493734337,2.1377139328799256e+29
961.1528822055138,2.1321551972212765e+29
962.4060150375941,2.126618099861394e+29
963.6591478696743,2.1211025287170607e+29
964.9122807017544,2.115608372429332e+29
966.1654135338347,2.1101355203579298e+29
967.4185463659148,2.1046838625756893e+29
968.671679197995,2.0992532898630526e+29
969.9248120300753,2.0938436937026153e+29
971.1779448621554,2.0884549662737224e+29
972.4310776942356,2.0830870004471053e+29
973.684210526316,2.0777396897795735e+29
974.937343358396,2.0724129285087607e+29
976.1904761904761,2.067106611547895e+29
977.4436090225563,2.0618206344806428e+29
978.6967418546366,2.0565548935559787e+29
979.949874686717,2.0513092856831112e+29
981.2030075187971,2.046083708426454e+29
982.4561403508773,2.0408780600006314e+29
983.7092731829573,2.0356922392655407e+29
984.9624060150377,2.0305261457214497e+29
986.2155388471178,2.0253796795041438e+29
987.4686716791981,2.020252741380111e+29
988.7218045112783,2.0151452327417717e+29
989.9749373433584,2.0100570556027464e+29
991.2280701754387,2.0049881125931773e+29
992.4812030075188,1.999938306955074e+29
993.734335839599,1.994907542537709e+29
994.9874686716792,1.9898957237930596e+29
996.2406015037594,1.9849027557712768e+29
997.4937343358396,1.9799285441162015e+29
998.74686716792,1.9749729950609183e+29
1000.0000000000001,1.9700360154233528e+29
