Wavelength (nm),Dipole Moment Sphere 1 (C·m²/V),Dipole Moment Sphere 2 (C·m²/V)
865.9147869674185,6.266709433327492e-24,6.266709433327492e-24
867.1679197994988,6.266756830592892e-24,6.266756830592892e-24
868.4210526315791,6.266804023891891e-24,6.266804023891891e-24
869.6741854636591,6.266851014391607e-24,6.266851014391607e-24
870.9273182957393,6.26689780325083e-24,6.26689780325083e-24
872.1804511278197,6.266944391620097e-24,6.266944391620097e-24
873.4335839598999,6.2669907806417594e-24,6.2669907806417594e-24
874.68671679198,6.267036971450055e-24,6.267036971450055e-24
875.9398496240602,6.2670829651711786e-24,6.2670829651711786e-24
877.1929824561404,6.267128762923347e-24,6.267128762923347e-24
878.4461152882205,6.267174365816867e-24,6.267174365816867e-24
879.6992481203008,6.267219774954203e-24,6.267219774954203e-24
880.9523809523811,6.267264991430047e-24,6.267264991430047e-24
882.2055137844611,6.2673100163313734e-24,6.2673100163313734e-24
883.4586466165413,6.26735485073752e-24,6.26735485073752e-24
884.7117794486217,6.26739949572024e-24,6.26739949572024e-24
885.9649122807019,6.267443952343765e-24,6.267443952343765e-24
887.218045112782,6.267488221664879e-24,6.267488221664879e-24
888.4711779448622,6.267532304732974e-24,6.267532304732974e-24
889.7243107769424,6.2675762025901065e-24,6.2675762025901065e-24
890.9774436090225,6.267619916271068e-24,6.267619916271068e-24
892.2305764411028,6.267663446803446e-24,6.267663446803446e-24
893.4837092731831,6.267706795207672e-24,6.267706795207672e-24
894.7368421052632,6.267749962497097e-24,6.267749962497097e-24
895.9899749373433,6.2677929496780385e-24,6.2677929496780385e-24
897.2431077694237,6.267835757749844e-24,6.267835757749844e-24
898.4962406015039,6.267878387704949e-24,6.267878387704949e-24
899.749373433584,6.267920840528931e-24,6.267920840528931e-24
901.0025062656641,6.267963117200569e-24,6.267963117200569e-24
902.2556390977444,6.268005218691903e-24,6.268005218691903e-24
903.5087719298245,6.268047145968278e-24,6.268047145968278e-24
904.7619047619048,6.268088899988412e-24,6.268088899988412e-24
906.0150375939851,6.268130481704442e-24,6.268130481704442e-24
907.2681704260652,6.268171892061988e-24,6.268171892061988e-24
908.5213032581453,6.2682131320001884e-24,6.2682131320001884e-24
909.7744360902255,6.2682542024517724e-24,6.2682542024517724e-24
911.0275689223059,6.268295104343105e-24,6.268295104343105e-24
912.280701754386,6.268335838594232e-24,6.268335838594232e-24
913.5338345864661,6.268376406118943e-24,6.268376406118943e-24
914.7869674185464,6.268416807824816e-24,6.268416807824816e-24
916.0401002506267,6.2684570446132685e-24,6.2684570446132685e-24
917.2932330827068,6.268497117379609e-24,6.268497117379609e-24
918.5463659147871,6.268537027013084e-24,6.268537027013084e-24
919.7994987468672,6.2685767743969314e-24,6.2685767743969314e-24
921.0526315789473,6.268616360408426e-24,6.268616360408426e-24
922.3057644110276,6.268655785918924e-24,6.268655785918924e-24
923.5588972431079,6.268695051793925e-24,6.268695051793925e-24
924.8120300751881,6.268734158893097e-24,6.268734158893097e-24
926.0651629072681,6.2687731080703444e-24,6.2687731080703444e-24
927.3182957393484,6.2688119001738405e-24,6.2688119001738405e-24
928.5714285714287,6.268850536046084e-24,6.268850536046084e-24
929.8245614035088,6.2688890165239314e-24,6.2688890165239314e-24
931.077694235589,6.268927342438656e-24,6.268927342438656e-24
932.3308270676692,6.268965514615985e-24,6.268965514615985e-24
933.5839598997493,6.269003533876142e-24,6.269003533876142e-24
934.8370927318296,6.2690414010339e-24,6.2690414010339e-24
936.0902255639099,6.269079116898611e-24,6.269079116898611e-24
937.3433583959901,6.2691166822742625e-24,6.2691166822742625e-24
938.5964912280701,6.2691540979595115e-24,6.2691540979595115e-24
939.8496240601504,6.269191364747733e-24,6.269191364747733e-24
941.1027568922307,6.2692284834270566e-24,6.2692284834270566e-24
942.3558897243108,6.2692654547804126e-24,6.2692654547804126e-24
943.609022556391,6.26930227958556e-24,6.26930227958556e-24
944.8621553884713,6.269338958615154e-24,6.269338958615154e-24
946.1152882205514,6.2693754926367584e-24,6.2693754926367584e-24
947.3684210526316,6.269411882412899e-24,6.269411882412899e-24
948.621553884712,6.269448128701107e-24,6.269448128701107e-24
949.8746867167921,6.2694842322539455e-24,6.2694842322539455e-24
951.1278195488721,6.269520193819063e-24,6.269520193819063e-24
952.3809523809523,6.2695560141392185e-24,6.2695560141392185e-24
953.6340852130327,6.2695916939523274e-24,6.2695916939523274e-24
954.887218045113,6.2696272339914975e-24,6.2696272339914975e-24
956.1403508771931,6.269662634985068e-24,6.269662634985068e-24
957.3934837092731,6.269697897656645e-24,6.269697897656645e-24
958.6466165413533,6.2697330227251394e-24,6.2697330227251394e-24
959.8997493734337,6.2697680109047995e-24,6.2697680109047995e-24
961.1528822055138,6.269802862905254e-24,6.269802862905254e-24
962.4060150375941,6.2698375794315394e-24,6.2698375794315394e-24
963.6591478696743,6.269872161184147e-24,6.269872161184147e-24
964.9122807017544,6.2699066088590434e-24,6.2699066088590434e-24
966.1654135338347,6.26994092314772e-24,6.26994092314772e-24
967.4185463659148,6.269975104737218e-24,6.269975104737218e-24
968.671679197995,6.270009154310165e-24,6.270009154310165e-24
969.9248120300753,6.27004307254481e-24,6.27004307254481e-24
971.1779448621554,6.270076860115057e-24,6.270076860115057e-24
972.4310776942356,6.270110517690495e-24,6.270110517690495e-24
973.684210526316,6.270144045936439e-24,6.270144045936439e-24
974.937343358396,6.270177445513952e-24,6.270177445513952e-24
976.1904761904761,6.270210717079888e-24,6.270210717079888e-24
977.4436090225563,6.2702438612869136e-24,6.2702438612869136e-24
978.6967418546366,6.2702768787835515e-24,6.2702768787835515e-24
979.949874686717,6.270309770214201e-24,6.270309770214201e-24
981.2030075187971,6.2703425362191774e-24,6.2703425362191774e-24
982.4561403508773,6.270375177434738e-24,6.270375177434738e-24
983.7092731829573,6.270407694493117e-24,6.270407694493117e-24
984.9624060150377,6.270440088022549e-24,6.270440088022549e-24
986.2155388471178,6.2704723586473125e-24,6.2704723586473125e-24
987.4686716791981,6.270504506987742e-24,6.270504506987742e-24
988.7218045112783,6.2705365336602756e-24,6.2705365336602756e-24
989.9749373433584,6.270568439277467e-24,6.270568439277467e-24
991.2280701754387,6.270600224448032e-24,6.270600224448032e-24
992.4812030075188,6.270631889776865e-24,6.270631889776865e-24
993.734335839599,6.270663435865072e-24,6.270663435865072e-24
994.9874686716792,6.270694863309998e-24,6.270694863309998e-24
996.2406015037594,6.270726172705255e-24,6.270726172705255e-24
997.4937343358396,6.270757364640754e-24,6.270757364640754e-24
998.74686716792,6.270788439702728e-24,6.270788439702728e-24
1000.0000000000001,6.270819398473762e-24,6.270819398473762e-24
