Wavelength (nm),Sphere 1 |α1(λ)|
904.7619047619048,2.114716118115743e-20
906.0150375939851,2.1085529008525763e-20
907.2681704260652,2.1024372540103334e-20
908.5213032581453,2.0963684927032716e-20
909.7744360902255,2.0903459467705902e-20
911.0275689223059,2.0843689603690754e-20
912.280701754386,2.0784368915791804e-20
913.5338345864661,2.0725491120239294e-20
914.7869674185464,2.066705006500254e-20
916.0401002506267,2.0609039726222526e-20
917.2932330827068,2.0551454204759596e-20
918.5463659147871,2.0494287722851456e-20
919.7994987468672,2.0437534620878585e-20
921.0526315789473,2.038118935423168e-20
922.3057644110276,2.032524649027865e-20
923.5588972431079,2.0269700705426848e-20
924.8120300751881,2.0214546782277502e-20
926.0651629072681,2.015977960686865e-20
927.3182957393484,2.0105394166003936e-20
928.5714285714287,2.0051385544663718e-20
929.8245614035088,1.9997748923496067e-20
931.077694235589,1.994447957638411e-20
932.3308270676692,1.9891572868088112e-20
933.5839598997493,1.983902425195856e-20
934.8370927318296,1.9786829267718518e-20
936.0902255639099,1.9734983539312837e-20
937.3433583959901,1.968348277282114e-20
938.5964912280701,1.9632322754433804e-20
939.8496240601504,1.9581499348487076e-20
941.1027568922307,1.9531008495556877e-20
942.3558897243108,1.948084621060831e-20
943.609022556391,1.9431008581199186e-20
944.8621553884713,1.9381491765736228e-20
946.1152882205514,1.9332291991781456e-20
947.3684210526316,1.9283405554407753e-20
948.621553884712,1.9234828814601283e-20
949.8746867167921,1.9186558197710208e-20
951.1278195488721,1.9138590191937085e-20
952.3809523809523,1.909092134687384e-20
953.6340852130327,1.9043548272078983e-20
954.887218045113,1.8996467635693922e-20
956.1403508771931,1.8949676163098047e-20
957.3934837092731,1.8903170635602027e-20
958.6466165413533,1.8856947889176504e-20
959.8997493734337,1.8811004813216122e-20
961.1528822055138,1.8765338349338187e-20
962.4060150375941,1.8719945490212867e-20
963.6591478696743,1.867482327842653e-20
964.9122807017544,1.8629968805375558e-20
966.1654135338347,1.8585379210189265e-20
967.4185463659148,1.854105167868332e-20
968.671679197995,1.8496983442339594e-20
969.9248120300753,1.845317177731421e-20
971.1779448621554,1.8409614003471657e-20
972.4310776942356,1.8366307483444387e-20
973.684210526316,1.8323249621717248e-20
974.937343358396,1.8280437863735587e-20
976.1904761904761,1.8237869695037404e-20
977.4436090225563,1.8195542640407032e-20
978.6967418546366,1.815345426305151e-20
979.949874686717,1.8111602163797933e-20
981.2030075187971,1.806998398031101e-20
982.4561403508773,1.8028597386331433e-20
983.7092731829573,1.7987440090932705e-20
984.9624060150377,1.794650983779746e-20
986.2155388471178,1.790580440451173e-20
987.4686716791981,1.7865321601876808e-20
988.7218045112783,1.7825059273238804e-20
989.9749373433584,1.7785015293834523e-20
991.2280701754387,1.7745187570153237e-20
992.4812030075188,1.7705574039315163e-20
993.734335839599,1.7666172668464435e-20
994.9874686716792,1.762698145417696e-20
996.2406015037594,1.7587998421883202e-20
997.4937343358396,1.754922162530468e-20
998.74686716792,1.751064914590396e-20
1000.0000000000001,1.7472279092348117e-20
